,hotel_name,nationality,rating,review_text,sentiment_score,sentiment
2565,Hotel Bourgoensch Hof,United Kingdom,7.9,bed never guess thing quite good location also good quite time,0.7496,Positive
2566,Art de Sejour - B&B,United States,10.0,everything art de clean spacious bathroom include luxurious bed delicious coffee bar delicious,0.8779,Positive
2567,Steigenberger Wiltcher's,United States,5.0,everything average service worth money location,0.2263,Neutral
2568,Vosseslag Beach - De Haan,Belgium,6.0,cable really use bring bed found last minute message host clean apartment end although description careful furniture quite new kitchen fully lot cooking,0.5106,Positive
2569,Hotel Royal,Belgium,9.0,parking miss public parking small elevator excellent diner covid sea view friendly staff,0.743,Positive
2571,Hotel Satellite,United Kingdom,9.6,well change daily good location quiet area book terrace,0.6124,Positive
2573,Woodstone,Belgium,8.0,clean would definitely clean bottom toilet clean clear put waste nice welcome friendly dog cottage warm lot cooking cosy,0.9612,Positive
2574,Sua Casa,Netherlands,9.0,neighborhood lot car could drive warm welcome owner house also clean cozy house time young lady,0.765,Positive
2575,Marivaux Hotel,Chile,6.0,narrow dark interior view size,0.0,Neutral
2576,B-aparthotel Ambiorix,United Kingdom,8.0,air heating work make little hot,0.0,Neutral
2577,Hotel Bourgoensch Hof,United Kingdom,9.6,breakfast could little well cosy central helpful,0.5584,Positive
2578,Art de Sejour - B&B,United States,10.0,everything great one night wish able stay bit longer give u kitchen input upcoming remodel thank,0.8519,Positive
2579,Steigenberger Wiltcher's,Saudi Arabia,4.6,request opener baby food provide sometimes forget toilet paper coffee nice area,0.2263,Neutral
2580,Vosseslag Beach - De Haan,Belgium,2.0,noise next around apartment sleep even ear apartment nit clean single around free parking,0.7184,Positive
2581,Hotel Royal,Belgium,9.0,busy day easy park car area load car cumbersome breakfast good quality variety comfortable bed nice bed clean balcony glance sea bonus helpful staff reception,0.9633,Positive
2583,Hotel Satellite,Cyprus,10.0,everything good,0.4404,Neutral
2585,Woodstone,Netherlands,7.5,clean dirt common door light finish hung terrace kind dangerous rotten wood dog direct driveway deep damage normal car beautiful complementary bose nice also get free chair toddler price also friendly,0.8074,Positive
2586,Gastenkamers Centersuites,United Kingdom,9.2,quite expensive spacious clean well furnish near beach,0.6204,Positive
2587,Sua Casa,Belgium,9.0,unfortunately garden playground nearby nice felt immediately welcome good location quite street apartment clean modern,0.8505,Positive
2588,Marivaux Hotel,Switzerland,6.7,bottle opener room,0.0,Neutral
2589,B-aparthotel Ambiorix,Côte d'Ivoire,8.3,self check quite one physically present property help time struggle telephone outside unfriendly weather condition imagine get check mail lose credit call room equipment may require buy upkeep need transportation visit work,-0.296,Neutral
2590,Hotel Bourgoensch Hof,United Kingdom,8.8,staff location clean simplicity,0.4019,Neutral
2591,Art de Sejour - B&B,United States,10.0,everything husband thoroughly stay gracious welcome impeccable host,0.7988,Positive
2592,Steigenberger Wiltcher's,United Kingdom,7.1,gym small didnt like many never water never water thats gripe stay good bedroom nice check early ideal u view nice beautiful,0.9286,Positive
2594,Hotel Royal,Luxembourg,10.0,nothing property,0.0,Neutral
2596,Hotel Satellite,Sweden,7.5,nothing negative per se beware lift case get top floor none big house residential area convert chose mainly walk distance venue work trip way towards walk bus stop close fetch connection airport also spacious breakfast brought,0.3814,Neutral
2598,Woodstone,Sweden,9.6,bad hill house steep good location lot relatively well thing miss microwave reasonable price easy arrival departure nice view typical chalet feel smell look,0.6808,Positive
2599,Gastenkamers Centersuites,Belgium,9.6,location,0.0,Neutral
2600,Sua Casa,Belgium,9.0,great great everything top,0.875,Positive
2601,Marivaux Hotel,Turkey,5.0,dark clean location,0.4019,Neutral
2602,B-aparthotel Ambiorix,Germany,8.0,service manager cause little problem sent someone sort door within bank holiday thank lot sort fast,0.4201,Neutral
2603,Hotel Bourgoensch Hof,United States,9.6,leave amaze new modern well reception area perfect position really friendly staff helpful welcome,0.9562,Positive
2604,Art de Sejour - B&B,Norway,7.5,everything top notch,0.2023,Neutral
2605,Steigenberger Wiltcher's,Qatar,6.3,like staff specially arrive night bellboy long time car collect reception staff unfriendly poor buffet five star one time extra water young use bar instead find outrageous none stayed request fact offering u without location building specious suite,-0.7269,Negative
2606,ibis Liège Centre Opéra,Hungary,7.0,small little bathroom breakfast location staff,0.0,Neutral
2607,Hotel Royal,Germany,9.0,location central near beach view main retail street breakfast excellent quality fresh well,0.7964,Positive
2609,Hotel Satellite,Hungary,2.0,facility barely set without elevator narrow building poor hygiene smell heavily tobacco ventilate help black everywhere bed bathroom common space facility breakfast brought advance breakfast never receive location good spacious,-0.4226,Neutral
2611,Woodstone,Belgium,8.3,would meet host order receive surround extra bedding available house get call especially case emergency daughter make set wet change extra equipment house example kitchen paper plastic wrap might useful chalet charm cozy surround wonderful reach car beautiful natural,0.9173,Positive
2612,Gastenkamers Centersuites,Belgium,5.8,interior decoration minimum outdated cosy machine clean coffee upon arrival call smell bit stuffy arrival smell damp price breakfast include water provide comfy good shower spacious communication staff,0.6808,Positive
2614,Marivaux Hotel,Ukraine,6.0,strong smell smoke non smoking especially bathroom staff fix move u another window broken open ventilate really low light unstable keep select temperature water tap awful condition provide baby cot without blanket pillow use double bed bring walk distance center breakfast,-0.788,Negative
2615,B-aparthotel Ambiorix,Slovakia,6.3,old furniture carpet value money location,0.34,Neutral
2616,Hotel Bourgoensch Hof,United Kingdom,9.2,check parking give ticket car park however parking outside bit difficult limited narrow road give full explanation get car park first barrier otherwise much else complain excellent location close staff helpful room perhaps little basic great view canal bed comfortable breakfast eat however charge extremely reasonable consider coffee parking close reserve advance per day reasonable car arrive car park barrier top ramp punch ticket give key pad lift barrier let ramp barrier insert ticket gain entry work spent several sit wonder driven wrong car park barrier lift eventually accord assume someone office watch take pity u look perplexed raise barrier,0.323,Neutral
2617,Art de Sejour - B&B,Romania,10.0,felt excellent bed comfortable sparkle clean host welcome strongly recommend place,0.959,Positive
2618,Steigenberger Wiltcher's,United Kingdom,6.7,pint lemonade access swim pool parking public one next door good size good breakfast,0.7003,Positive
2619,ibis Liège Centre Opéra,Belgium,7.0,even shift wear mask carpet chlorine convenient location nice staff morning afternoon shift fast check,0.4215,Neutral
2620,Novotel Brussels City Centre,United Kingdom,9.6,nothing clean,-0.3089,Neutral
2621,Hotel Royal,Belgium,8.0,friendly staff superb,0.8074,Positive
2623,Hotel Satellite,Hungary,6.0,unfortunately quiet,-0.34,Neutral
2625,Woodstone,Belgium,5.0,uncomfortable tacky badly kept interior continuous presence owner dog terrace hardly contact initial book two one double bed make eventual book one young man uncle one bed make second set provide lot effort quality nowhere near price pay accommodation terrace view beautiful good quiet free environment,0.6904,Positive
2627,Marivaux Hotel,Poland,3.0,lot dirt bathroom loud ventilation,-0.34,Neutral
2628,B-aparthotel Ambiorix,Kenya,7.1,need system well,0.2732,Neutral
2629,Hotel Bourgoensch Hof,United Kingdom,7.1,bright flash every lead ceiling smoke alarm unit extremely bright dark bedroom bottom bed disturb poor quality waterproof rubber cover mattress uncomfortable make hot also make noise rubbish corridor fire constantly open convenience work helpful pleasant staff location two easy table window enjoy view canal,0.7003,Positive
2630,Art de Sejour - B&B,United States,10.0,exceptional take great care u day stay give u told u go base late receive u every morning wonderful breakfast delicious food spacious super comfortable great big bed coffee machine food drink everyday already miss art de,0.9786,Positive
2631,Steigenberger Wiltcher's,Saudi Arabia,5.8,house keep one night forgot put toilet hotel provide extra drinking water need time refill tea charge service order even need spoon plate opener go meal main restaurant say last order make food block much credit card guarantee good location bell boy helpful,0.7506,Positive
2632,ibis Liège Centre Opéra,Portugal,7.0,room small bit old bedroom location best feature friendly staff helpful parking free reduce fee advantageous,0.9432,Positive
2633,Novotel Brussels City Centre,Malta,9.6,beautiful nicely decorate small budget however taste restaurant food,0.7783,Positive
2634,Hotel Royal,United Kingdom,9.0,hospitality superb clean great clean friendly family run could fault,0.9337,Positive
2636,Hotel Satellite,Sweden,2.0,poor breakfast roll yoghurt put street level basement another one attic yet per night,-0.4767,Neutral
2638,Woodstone,Germany,10.0,super nice location warm place,0.8225,Positive
2640,Marivaux Hotel,Turkey,6.0,well especially bathroom housekeep proper one view one face building closely change next day even anything respect location,0.6369,Positive
2641,Hotel Bourgoensch Hof,United Kingdom,7.9,glass door en suite bit funny breakfast lovely quiet relaxed stay beautiful part,0.93,Positive
2642,Art de Sejour - B&B,United States,10.0,nothing large beautiful place justice blown away big come great price value lovely host well would stay heart beat,0.9128,Positive
2643,Steigenberger Wiltcher's,Saudi Arabia,7.1,every thing fine swim pool young disappoint,-0.2263,Neutral
2644,ibis Liège Centre Opéra,Germany,9.0,side open understandable still otherwise everything fine area clean nice,0.743,Positive
2645,Novotel Brussels City Centre,Greece,10.0,everything perfect nice central location near station interest room spacious clean comfortable bed generously equip staff helpful friendly would highly recommend anyone go,0.9778,Positive
2646,Hotel Royal,United Kingdom,10.0,bed food staff location,0.0,Neutral
2647,Hotel Satellite,United Kingdom,6.7,found bed soft therefore really uncomfortable also thought breakfast small money bathroom could include conditioner hair wash curtain properly block light morning clean staff nice helpful good condition good location work,0.8078,Positive
2649,Woodstone,Belgium,10.0,perfect getaway relaxed stay charm little village,0.8625,Positive
2651,Marivaux Hotel,Germany,6.3,room expensive business visit advisable personal visit basic breakfast value money salad selection dirty floor carpet single lift slow elevator bath water old hard handle suitable age people location walk able distance station easy access city even late night fast food available nearby friendly staff helpful flexible check process kind organize taxi,0.9062,Positive
2652,Hotel Bourgoensch Hof,United Kingdom,9.2,excellent location spacious wonderful view canal,0.8126,Positive
2653,Art de Sejour - B&B,Spain,10.0,far best stay ever travel work group people different everyone agree everything perfect super spacious comfortable beautifully decorate last detail breakfast varied fresh natural delicious host amaze location convenient close major variety close definitely try stay next visit host excellent job,0.9904,Positive
2654,Steigenberger Wiltcher's,Saudi Arabia,7.1,swim pool young like note chose reason good friendly staff,0.8225,Positive
2655,ibis Liège Centre Opéra,Belgium,8.0,car park old however could put towards entrance car park find entrance reception man entrance friendly always could go help overall staff friendly,0.8442,Positive
2656,Novotel Brussels City Centre,Netherlands,9.0,parking area close modern clean place center,0.4019,Neutral
2657,Hotel Royal,Belgium,9.0,bit hot stuffy despite weather warm even opening window help much otherwise everything perfect nice cozy friendly accommodate staff perfect location close sea main street tasty breakfast good selection,0.9541,Positive
2662,ibis Liège Centre Opéra,Belgium,8.0,shower broken hold one hand shower breakfast,0.0258,Neutral
2663,Novotel Brussels City Centre,South Korea,10.0,nothing huge building construction site next room view nice problem city walk tourist clean spacious,0.2115,Neutral
2664,Hotel Royal,Germany,9.0,quite small personally feel able breathe well although window air conditioner still minor point really location close beach next staff really oblige quiet although city nicely design recently bed well comfortable breakfast include healthy delicious extravagant passion fruit sparkle wine salmon lovely start day,0.9761,Positive
2668,ibis Liège Centre Opéra,Australia,9.0,good friendly staff good breakfast great location,0.9201,Positive
2669,Novotel Brussels City Centre,Egypt,10.0,nothing everything perfect stay much highly,-0.4585,Neutral
2670,Hotel Royal,United Kingdom,8.0,bed little hard great power shower quiet night,0.574,Positive
2673,ibis Liège Centre Opéra,Germany,7.0,carpet little old staff friendly,0.4472,Neutral
2674,Novotel Brussels City Centre,Netherlands,9.6,nothing location great minute walk center comfortable clean,0.4031,Neutral
2675,Hotel Royal,United Kingdom,9.0,ann owner welcome extremely helpful always smile great stay,0.9179,Positive
2678,ibis Liège Centre Opéra,Belgium,8.0,friendly staff secure parking,0.6808,Positive
2679,Novotel Brussels City Centre,Slovakia,9.0,everything nice staff friendly helpful clean nice breakfast average situate walk distance central station lot shopping surround,0.9231,Positive
2680,Hotel Royal,United Kingdom,9.0,charge breakfast extra per person location sea front surround good eat drink welcome staff warm friendly breakfast good,0.9169,Positive
2683,ibis Liège Centre Opéra,Belgium,8.0,cleaning clean well saw desk coffee stain,0.5859,Positive
2684,Novotel Brussels City Centre,Belgium,8.5,location breakfast fantastic would happier bed,0.7906,Positive
2685,Hotel Royal,United Kingdom,10.0,cannot fault way always make welcome time stay love location quality value money excellent breakfast fact like,0.9521,Positive
2687,ibis Liège Centre Opéra,Netherlands,8.0,breakfast facility close due covid crisis therefore breakfast order one day advance mostly paper bag nice view center liege walk distance many parking,-0.3182,Neutral
2688,Novotel Brussels City Centre,Ireland,10.0,nothing excellent location take breakfast excellent even meal staff excellent reception taxi boarding pas printing,-0.8399,Negative
2689,Hotel Royal,United Kingdom,10.0,well good staff well happy help go back thanks,0.9371,Positive
2692,ibis Liège Centre Opéra,Germany,7.0,although clean give impression old dusty center across street,0.5574,Positive
2693,Novotel Brussels City Centre,Oman,7.9,u make noise could clearly hear comfortable view good location good clean specious check classy clean overall good value money,0.9732,Positive
2694,Hotel Royal,United Kingdom,10.0,parking system little bit walk free park side great breakfast ever fresh salmon,0.8568,Positive
2697,Hotel Boterhuis,United States,8.0,bit small side quite bit stay stayed card comfortable staff super friendly great location away square,0.9382,Positive
2698,Hotel Bourgoensch Hof,United Kingdom,10.0,n,0.0,Neutral
2699,Place 2 stay,Netherlands,9.0,apartment floor take effort carry luggage great location clean spacious terrace clean,0.8591,Positive
2700,ibis Liège Centre Opéra,Belgium,7.0,good think price air condition thats disappointment every thing fine thanks,0.5106,Positive
2704,Novotel Brussels City Centre,Israel,7.9,shuttle airport would expect service expensive great location spacious clean good bath comfortable bed nice gym hot tub good breakfast,0.9565,Positive
2705,Hotel Royal,United Kingdom,10.0,could breakfast everything great clean comfortable bed,0.8779,Positive
2708,Hotel Boterhuis,United Arab Emirates,9.0,private courtyard small atrium could eat breakfast cozy breakfast also delicious everyone front desk welcome friendly like visit friend house shower also great public parking right around corner easy get,0.9705,Positive
2709,Hotel Bourgoensch Hof,United States,10.0,elevator great think small bar downstairs worth first right canal take video window share great view also minute two walk imagine well location nice size really high ceiling classic look ornately frame art,0.9451,Positive
2710,Place 2 stay,India,10.0,location amaze everything walk distance property location provide,0.5423,Positive
2711,Marivaux Hotel,China,6.7,convenient drag suitcase go long twist hall way fair pretty big speechless view window one way street follow direction map otherwise would never,0.5574,Positive
2712,ibis Liège Centre Opéra,Germany,9.0,furniture situate oddly meter couch thrown corner window make flow little well space poorly organize hotel situate downtown able enjoy area due rain receptionist nice,0.7787,Positive
2714,Steigenberger Wiltcher's,United States,9.2,great great staff friendly responsive eager make happy,0.9643,Positive
2716,Novotel Brussels City Centre,Netherlands,7.1,could well also sit arrangement could little big set differently customer service front desk house cleaning restaurant please also clean,0.7269,Positive
2717,Hotel Royal,United Kingdom,7.5,room quite small good value friendly staff go way help,0.8943,Positive
2719,Hotel Boterhuis,Belgium,9.0,nothing dislike friendly staff secure wonderful u breakfast excellent brought u daily everyone nice helpful,0.932,Positive
2720,Hotel Bourgoensch Hof,United Kingdom,1.0,book relate staff felt false advertising different one base would recommend remove site,0.3612,Neutral
2721,Place 2 stay,Netherlands,8.0,apartment quite noisy near bar right street side also people come home another apartment building quite late night private parking parking garage nearby nice location good use kitchen equipment quite complete bed also nice,0.7584,Positive
2722,Marivaux Hotel,France,6.3,unable take hot shower,0.0,Neutral
2723,ibis Liège Centre Opéra,Germany,7.0,bad smell impossible open also checked receptionist get fresh air night,-0.296,Neutral
2725,Steigenberger Wiltcher's,Belgium,10.0,check check class comfort perfect bathroom everything could wish tranquility need anything else staff always ready help,0.9423,Positive
2727,Novotel Brussels City Centre,United Kingdom,9.0,central location lot close clean friendly helpful staff,0.8271,Positive
2728,Hotel Royal,United Kingdom,9.6,location great staff friendly,0.8074,Positive
2730,Hotel Boterhuis,Luxembourg,8.0,bathroom bit narrow toilet main door would close properly course due architecture age old building beautiful totally charm look style worth keep mind covid oblige breakfast take bed chair available issue u could issue people staff friendly helpful building beautifully charm location perfect explore,0.9755,Positive
2731,Hotel Bourgoensch Hof,United Kingdom,4.0,stay water coffee milk addition upon return one night front door lock half hour state time night manager open even though key one two u return alone night manager come open miserable good location,-0.3182,Neutral
2732,Place 2 stay,Netherlands,8.0,location perfect everything walk distance studio clean,0.7506,Positive
2733,Marivaux Hotel,Ireland,6.7,toilet sink separate bathroom though sink shower leave toilet hall area go back bathroom wash found strange see point separate toilet put sink great location staff nice helpful stayed one night pleasant,0.9001,Positive
2734,ibis Liège Centre Opéra,Germany,7.0,plastic glass bathroom particular focus put environmental protection,0.0,Neutral
2736,Steigenberger Wiltcher's,United Kingdom,7.9,dusty dust like,0.3612,Neutral
2738,Novotel Brussels City Centre,Canada,10.0,clean good size pool view breakfast great good variety,0.9118,Positive
2739,Hotel Royal,United Kingdom,10.0,anything like really good breakfast stayed apartment treat privacy relaxation choose,0.8955,Positive
2741,Hotel Boterhuis,Belgium,9.0,probably time easter work street obviously fault inconvenient find also perhaps light could one little side work good enough reading overall great place family nicely top building two one side double bed fun comfortable particularly table four cutlery crockery make stay comfortable time eat possible,0.9454,Positive
2742,Hotel Bourgoensch Hof,Italy,10.0,wonderful location parking min walk maximum breakfast amaze,0.802,Positive
2743,Place 2 stay,Belgium,8.0,response question pity expensive say close studio good light car great location quiet street close city ideal short break would recommend anyone,0.8934,Positive
2744,Marivaux Hotel,Ireland,6.3,feel like star location brilliant,0.743,Positive
2745,ibis Liège Centre Opéra,Russia,7.1,indoor cycling trainer middle floor corridor front weird train also people living floor dirty entrance stairway cover cigarette building shopping mall lot shady people run around night liege generally place want visit tourist parking lot inside building attractive parking fee although cash nice restaurant across street generally standard ibis,0.34,Neutral
2747,Steigenberger Wiltcher's,Belgium,9.6,service order told wait min bar full go bar full barman told person line say nonsense min next morning order breakfast say breakfast person write breakfast tea felt need recheck everything potato receive fry potato benedict receive delicious fresh juice uneatable book junior suite impeccably clean smell fresh huge mattress marble bathroom huge bath pure luxury staff helpful friendly really willing help smile reception inner courtyard grand,0.9767,Positive
2749,Novotel Brussels City Centre,United Kingdom,10.0,good great location helpful staff good great breakfast,0.9501,Positive
2750,Hotel Royal,United Kingdom,10.0,go night partner mid june clean comfortable always friendly welcome go half board first time even well prepared breakfast always well do definitely return maybe later year catch well weather,0.9643,Positive
2752,Hotel Boterhuis,United Kingdom,10.0,location friendly staff,0.4939,Neutral
2753,Hotel Bourgoensch Hof,United Kingdom,10.0,close market square clean comfortable reception helpful,0.8316,Positive
2754,Place 2 stay,France,8.0,studio well situate right front next parking semi basement studio bit cautious open stay studio well kitchen big comfortable double bed totally reasonable stay,0.7269,Positive
2755,Marivaux Hotel,Slovakia,5.8,never experienced pay deposit beyond pay whole amount right arrival cheap room big old wooden furniture bathroom fine average clean,0.6239,Positive
2756,ibis Liège Centre Opéra,Luxembourg,7.1,super loud noise flush toilet bathroom super small great location right city car park garage building car park pretty narrow tight room super small one night stay,0.9638,Positive
2758,Steigenberger Wiltcher's,Netherlands,10.0,,0.0,Neutral
2760,Novotel Brussels City Centre,Ireland,9.2,location great staff lovely bar restaurant boring character atmosphere,0.765,Positive
2761,Hotel Royal,Luxembourg,9.6,classic modern touch inside centrally de panne friendly welcome comfy small enjoyable clean bathroom main really free work fine parking public right front door big quiet enough one night,0.9473,Positive
2763,Hotel Boterhuis,Germany,9.0,breakfast fantastic staff super helpful location perfect wish could see inn next time,0.9493,Positive
2764,Hotel Bourgoensch Hof,United Kingdom,6.0,everything little sparse kettle one small bottle water u coffee milk limited space clothes people information even soap tiny extra standard rather budget yet fairly small thought would river view rather noisy road view location excellent view breakfast table bed comfortable,0.6597,Positive
2765,Place 2 stay,United Kingdom,9.0,could use couple tea location superb owner fantastic set without cope heat,0.8271,Positive
2766,Marivaux Hotel,Luxembourg,6.7,disappointed u floor shower full water drip around ceiling another staff even must something common new ceiling also old water everything furniture old breakfast also disappoint choice poor quality food perfect either probably ago indeed deserve location attractive rest significant,-0.128,Neutral
2767,ibis Liège Centre Opéra,United Kingdom,8.0,typical ibis check easy staff pleasant capable comfortable good view breakfast usual ibis affair e well youth hostel long margin,0.9442,Positive
2769,Steigenberger Wiltcher's,Netherlands,10.0,service bar high level rest excellent excellent service nice situation staff friendly professional well train,0.9382,Positive
2771,Novotel Brussels City Centre,Ireland,9.6,cannot complain felt unsafe around safe city midnight receptionist afraid open door little concerned wife angry person cannot blame person fault city safe recommend careful go alert good go perfect rest day good service cleaning breakfast chance visit leisure center nice,0.9771,Positive
2772,Hotel Royal,United Kingdom,10.0,nothing th visit royal return staff excellent fantastic spacious clean make anniversary weekend bit special nothing,0.9136,Positive
2774,Hotel Boterhuis,Belgium,10.0,polite pleasant staff perfect location surround good coffee look well reality also parking nearby convenient,0.9001,Positive
2775,Hotel Bourgoensch Hof,Ukraine,10.0,everything perfect,0.5719,Positive
2776,Place 2 stay,Germany,9.0,could get loud outside sometimes central location spacious reasonable price almost main within walk distance clean super helpful store luggage checked,0.8555,Positive
2777,Marivaux Hotel,United States,6.3,never work spotty never bathroom sink year soap scum location,0.0,Neutral
2778,ibis Liège Centre Opéra,United Kingdom,6.7,hot way drop temperature impossible sleep location good,0.2023,Neutral
2780,Steigenberger Wiltcher's,France,10.0,extremely comfortable hotel,0.5563,Positive
2782,Novotel Brussels City Centre,Ireland,8.3,ana reception nice welcome pleasure deal time arrival departure lovely size bed comfortable quiet concerned traffic noise light sleeper well noise,0.9565,Positive
2783,Hotel Royal,United Kingdom,10.0,rug mat bathroom lovely location convenient street parking excellent breakfast staff friendly speak bonus strongly recommend,0.9571,Positive
2785,Hotel Boterhuis,United States,9.0,minor like motion sensor light entrance come get night like use bathroom door bedroom entry area motion sensor light end world would well table enjoy wonderful breakfast desk one chair kind brought breakfast enjoyment bit pandemic require eat comfortable bathroom tilework nice clean real great small suite old unique wonderful architecture wind lead gigantic family view courtyard fascinate tower grand market great location city parking garage nearby work u since drove staff absolutely wonderful welcome accommodate bedding wonderful bathroom modern comfortable breakfast provide wonderful absolutely stay,0.9964,Positive
2786,Hotel Bourgoensch Hof,Spain,10.0,clean new furniture guess,0.4019,Neutral
2787,Place 2 stay,Germany,10.0,nothing location place stay fantastic place really close old town also clean stock stayed day good place stay longer time host really friendly next time visit want stay thank,0.9381,Positive
2788,Marivaux Hotel,Denmark,5.4,difficult navigate gym joke work anonymous easy find,0.3818,Neutral
2789,ibis Liège Centre Opéra,Netherlands,8.0,bedding bit soft power code near bed location value,0.34,Neutral
2791,Steigenberger Wiltcher's,United States,10.0,amaze helpful concierge,0.743,Positive
2793,Novotel Brussels City Centre,United Kingdom,10.0,staff helpful arrival give u map u sight see spacious clean bed extremely comfortable birthday staff put party give u free drink write lovely card birthday breakfast amaze food fresh great choice,0.9814,Positive
2794,Hotel Royal,United Kingdom,10.0,lack free parking magnificent spotless food great staff fantastic,0.9274,Positive
2796,Hotel Boterhuis,Belgium,8.0,really negative maybe visual embarrassment brought work around kill bit charm surroundings something cannot avoid great choice city trip charm old building walk main market square lady run place kind helpful good breakfast even due pandemic clean large comfortable also use private parking away problem definitely recommend place hesitate come back point,0.7097,Positive
2797,Hotel Bourgoensch Hof,United Kingdom,6.0,many step lack light near instance get bed turn light bed door bathroom quite open fully little bit difficult shut properly location good walk market square staff friendly clean throughout,0.6142,Positive
2798,Place 2 stay,Netherlands,8.0,studio could cleaner especially floor dirty lot couch kitchen en bathroom however clean first location top notch moreover bathroom nice studio plenty space decent price,0.5888,Positive
2799,Marivaux Hotel,Russia,5.8,smell indifference personnel cold switch heat overall shabby location,-0.0516,Neutral
2800,ibis Liège Centre Opéra,United Kingdom,8.8,poor fan available resolve friendly staff central,0.6124,Positive
2802,Steigenberger Wiltcher's,Switzerland,10.0,chose location comfort valet service overall hospitality staff second stay surely choice next visit,0.6597,Positive
2804,Novotel Brussels City Centre,Ireland,8.5,bed standard rest excellent felt like fold bed much depth comfort sorry breakfast one best many business location near good also leisure clean modern,0.9531,Positive
2806,Hotel Boterhuis,Belgium,10.0,breakfast,0.0,Neutral
2807,Hotel Bourgoensch Hof,United Kingdom,10.0,nothing central beautiful canal big bath huge bed coffee fresh bedding provide every morning optional breakfast room really clean matter market square,0.5893,Positive
2808,Place 2 stay,Netherlands,8.0,clear book would pay cash found fine would good make clear lovely spacious penthouse amaze nearby center everything,0.9413,Positive
2809,Marivaux Hotel,Mauritius,6.3,concierge toilet clean location,0.4019,Neutral
2810,ibis Liège Centre Opéra,Belgium,8.3,incredibly hot ability low temp open window fan provide still enough fantastic location great value parking friendly staff,0.9414,Positive
2812,Steigenberger Wiltcher's,United Kingdom,9.6,hotel main city slightly breakfast good wide choice food,0.3862,Neutral
2814,Novotel Brussels City Centre,United States,8.8,perfume smell lobby bit strong cloy facility overall good convenient location breakfast good coffee pool add bonus long day walk city street staff attentive helpful would definitely recommend come city,0.9623,Positive
2815,Hotel Boterhuis,Belgium,9.0,nice clean decoration really good look bathroom wide amaze,0.9041,Positive
2816,Hotel Bourgoensch Hof,China,10.0,great service front desk,0.6249,Positive
2817,Place 2 stay,United Kingdom,8.0,rather dismal offering glad bought location modern clean newly,0.1779,Neutral
2818,Marivaux Hotel,Germany,4.6,poor uncomfortable bathroom loose dirty disgust bathroom full bucket shower professional book site nothing common real appearance complaint receive another however still poor quality dare use shower first impression take breakfast one bad experience,-0.967,Negative
2819,ibis Liège Centre Opéra,Cyprus,9.0,best acceptable best location,0.8934,Positive
2821,Steigenberger Wiltcher's,United Kingdom,9.6,food drink expensive staff concierge service fabulous anything need,0.5267,Positive
2823,Novotel Brussels City Centre,Saudi Arabia,8.8,need provide water every morning location big staff,0.0,Neutral
2824,Hotel Boterhuis,Belgium,9.0,great cozy lot bathroom bath amaze good value money minute walk city center great breakfast corona time really good enough fresh cereal fruit would stay birthday owner breakfast,0.97,Positive
2825,Hotel Bourgoensch Hof,United Kingdom,10.0,bar close night location walk belfry tower view river,0.0,Neutral
2826,Place 2 stay,Germany,8.0,nice one apartment modern comfort great stay,0.8555,Positive
2827,Marivaux Hotel,Netherlands,5.8,fact one good sign fabric head bed also mattress even though lot stray hair also unmaintained plain block construction debris make fire escape hazardous far central walk city large lot gym several meeting room large fairly comfy discover though give free breakfast though breakfast fairly good although exceptional recommend go instead would price staff friendly helpful understand,0.9186,Positive
2829,Steigenberger Wiltcher's,Romania,10.0,everything,0.0,Neutral
2831,Novotel Brussels City Centre,Ireland,10.0,location quiet,0.0,Neutral
2832,Hotel Boterhuis,Belgium,10.0,nothing perfect location good advice eat take away dinner close clean convenient breakfast super kind lady reception everything could make stay comfortable would go back,0.8358,Positive
2833,Hotel Bourgoensch Hof,Turkey,10.0,best location nice clean good price friendly staff,0.9413,Positive
2834,Place 2 stay,United Kingdom,10.0,nothing perfect u apartment clean tidy spacious hassle free could easily contact housekeeper light airy heating great could even watch,0.6751,Positive
2835,Marivaux Hotel,Netherlands,5.0,room cold set air conditioner help cold air kept blowing air grid turn complete help either felt like staff help room temperature well,0.8934,Positive
2837,Steigenberger Wiltcher's,Belgium,9.6,room cleaning staff,0.0,Neutral
2839,Novotel Brussels City Centre,United States,8.3,bathroom strong urine location perfect,0.7906,Positive
2840,Hotel Boterhuis,Belgium,9.0,super,0.5994,Positive
2841,Hotel Bourgoensch Hof,Thailand,10.0,nothing book canal view fantastic big comfortable breakfast location superb walk bus station within,0.9001,Positive
2842,Place 2 stay,United Kingdom,10.0,beautiful apartment ideal location highly,0.8074,Positive
2843,Marivaux Hotel,Netherlands,5.8,room cold set air conditioner help cold air kept blowing air grid turn complete help either felt like staff help room temperature well,0.8934,Positive
2845,Steigenberger Wiltcher's,Nigeria,9.6,parking space good hospitality,0.4404,Neutral
2847,Hotel Boterhuis,United Kingdom,9.0,staff location excellent ask parking nearby secure though quite tight expect big car easy brilliant walk visit dog friendly well,0.9524,Positive
2848,Hotel Bourgoensch Hof,Australia,10.0,room bath shower set low roof space area bath however small price pay view window view magical canal day night felt soothe warm comfortable soft bed location perfect old town,0.836,Positive
2849,Place 2 stay,United Kingdom,10.0,property amaze lot narrow knew already issue u could host arrival u ready advise u clearly parking situation go beyond take u near parking stayed top apartment beautiful even amaze terrace would summer spacious everything,0.9509,Positive
